0.00	     0	   664.26
0.00	     0	   660.30
0.00	     0	   659.34
0.00	     0	   654.73
0.01	     0	   639.96
0.01	     0	   631.66
0.01	     0	   624.65
0.01	     0	   613.19
0.01	     0	   610.88
0.02	     0	   597.25
0.02	     0	   594.26
0.02	     0	   591.15
0.02	     0	   586.54
0.02	     0	   583.96
0.02	     0	   577.41
0.03	     0	   563.57
0.03	     0	   561.78
0.03	     0	   552.20
0.04	     0	   543.66
0.05	     0	   530.63
0.06	     0	   529.75
0.06	     0	   527.88
0.06	     0	   524.79
0.07	     0	   514.92
0.08	     0	   513.09
0.08	     0	   510.48
