0.00	     0	  1474.67
0.00	     0	  1466.84
0.01	     0	  1452.85
0.01	     0	  1446.88
0.01	     0	  1443.13
0.02	     0	  1392.82
0.02	     0	  1383.99
0.02	     0	  1356.28
0.02	     0	  1328.71
0.03	     0	  1326.91
0.13	     0	  1318.60
0.13	     0	  1268.35
0.17	     0	  1243.49
0.28	     0	  1225.34
0.28	     0	  1214.62
0.37	     0	  1205.57
0.38	     0	  1186.98
0.38	     0	  1184.71
0.38	     0	  1152.61
0.41	     0	  1150.42
0.41	     0	  1139.25
0.41	     0	  1128.15
0.41	     0	  1101.22
0.49	     0	  1092.73
0.49	     0	  1074.54
0.51	     0	  1047.69
0.52	     0	  1036.37
0.52	     0	   999.28
0.52	     0	   998.35
0.56	     0	   991.96
0.56	     0	   989.78
0.56	     0	   949.86
0.56	     0	   947.81
0.57	     0	   941.34
0.57	     0	   938.38
0.60	     0	   936.96
0.60	     0	   928.98
0.60	     0	   926.54
0.60	     0	   919.43
0.60	     0	   908.04
0.61	     0	   907.59
0.61	     0	   885.72
0.61	     0	   870.37
0.61	     0	   857.38
0.66	     0	   852.95
0.66	     0	   847.86
0.68	     0	   821.03
0.68	     0	   815.98
0.68	     0	   811.32
0.68	     0	   794.04
0.68	     0	   793.44
0.68	     0	   788.81
0.68	     0	   781.20
0.68	     0	   780.69
0.68	     0	   765.45
0.68	     0	   762.68
0.68	     0	   753.80
0.68	     0	   743.88
0.69	     0	   737.51
0.69	     0	   731.20
0.69	     0	   697.24
0.69	     0	   696.83
0.70	     0	   693.71
0.71	     0	   680.48
0.71	     0	   673.23
0.71	     0	   667.18
0.71	     0	   662.61
0.72	     0	   661.52
0.72	     0	   654.92
0.72	     0	   649.76
0.72	     0	   647.00
0.72	     0	   625.37
0.72	     0	   622.70
0.72	     0	   618.68
0.72	     0	   618.64
0.73	     0	   611.51
0.78	     0	   608.29
0.78	     0	   599.74
0.78	     0	   591.22
0.78	     0	   587.62
0.78	     0	   578.19
0.79	     0	   573.99
0.79	     0	   571.51
0.79	     0	   568.75
0.80	     0	   565.64
0.81	     0	   562.50
0.81	     0	   561.43
0.81	     0	   559.78
0.81	     0	   557.27
0.81	     0	   556.45
0.81	     0	   551.47
0.82	     0	   545.24
0.82	     0	   537.34
0.83	     0	   532.71
0.86	     0	   523.59
0.89	     0	   522.33
0.90	     0	   521.56
0.90	     0	   503.74
0.91	     0	   487.71
0.92	     0	   486.85
0.92	     0	   486.44
0.92	     0	   483.98
0.93	     0	   483.79
0.94	     0	   481.25
0.94	     0	   476.70
0.96	     0	   475.70
0.97	     0	   474.72
0.97	     0	   470.17
0.97	     0	   463.73
1.02	     0	   458.21
1.02	     0	   454.78
1.03	     0	   451.76
1.04	     0	   450.91
1.06	     0	   447.12
1.28	     0	   446.02
1.99	     0	   446.02
